Ano,Mes,Acumulada
2014,1,475.6927959595531
2014,2,45.33028308352775
2014,3,201.10471140082646
2014,4,251.00199867784173
2014,5,131.42817478638904
2014,6,179.04666164644777
2014,7,250.94257142971105
2014,8,91.84327824508269
2014,9,100.94316777223963
2014,10,75.32222666293308
2014,11,135.22562839299698
2014,12,135.50120300288768
2015,1,265.80581555229776
2015,2,287.8247414798901
2015,3,476.18683400702
2015,4,264.70934052059056
2015,5,156.41784576534582
2015,6,243.476731018981
2015,7,62.95899358974357
2015,8,35.1729358974359
2015,9,295.18935977910974
2015,10,99.08458373424818
2015,11,488.35100505050514
2015,12,395.4287965645466
2016,1,781.7864624819624
2016,2,614.5378014208014
2016,3,789.8404084526582
2016,4,25.627214285714285
2016,5,266.1389975024973
2016,6,405.0586749916748
2016,7,30.45385048285048
2016,8,176.20265118215116
2016,9,333.2075584415583
2016,10,166.48051193251194
2016,11,898.0307002997004
2016,12,307.22733982683974
2017,1,216.17918686868677
2017,2,75.00199999999998
2017,3,572.7888033910533
2017,4,328.63896491009
2017,5,84.36662296037302
2017,6,441.79827738927753
2017,7,101.63860273060277
2017,8,178.0193462093462
2017,9,22.203331141081133
2017,10,168.07350086025087
2017,11,280.417274947275
2017,12,166.17277922077923
2018,1,517.2596655844156
2018,2,503.7182774170276
2018,3,246.56631493506492
2018,4,145.723615079365
2018,5,140.31602380952387
2018,6,128.82391125541122
2018,7,115.5295212842713
2018,8,261.3394184704186
2018,9,172.7970357142857
2018,10,394.03539321789333
2018,11,677.6835664644866
2018,12,199.8314187452227
2019,1,123.2342626644657
2019,2,487.4725815782221
2019,3,544.9335480409126
2019,4,673.0017577940549
2019,5,286.2100690223825
2019,6,147.08644485014983
2019,7,88.5240569953077
2019,8,296.97050724172533
2019,9,267.0297063116634
2019,10,147.81786677891813
2019,11,165.04561438683623
2019,12,223.26020497311828
2020,1,121.0
2020,2,264.0
2020,3,81.37611904761904
2020,4,51.1145
2020,5,171.4768571428572
2020,6,15.410000000000004
2020,7,87.77416666666666
2020,8,131.4842380952381
2020,9,155.5830238095238
2020,10,137.4757085137085
2020,11,206.41858694083697
2020,12,304.5877918470418
2021,1,15.119220945083013
2021,2,113.6857471264368
2021,3,41.26965517241379
2021,4,254.0337420634921
2021,5,186.59178174603184
2021,6,110.15195238095235
2021,7,46.55378571428571
2021,8,108.20271428571428
2021,9,51.873461038961025
2021,10,275.88855627705624
2021,11,231.90169125319122
2021,12,32.515909084529774
2022,1,94.32625152625153
2022,2,36.81290098790099
2022,3,102.35555555555555
2022,4,124.48477633477633
