Ano,Mes,Media_dias_chuva
2014,1,93.86144816223756
2014,2,23.075126137780988
2014,3,96.80271763038327
2014,4,131.61656788404855
2014,5,71.86685080038184
2014,6,115.02990624017393
2014,7,128.72444086270258
2014,8,64.31036693223966
2014,9,32.50143400790754
2014,10,28.6396711668057
2014,11,72.35671607122553
2014,12,163.84253544312918
2015,1,209.84453159984858
2015,2,84.94589000553874
2015,3,139.47689927583954
2015,4,75.64551724137941
2015,5,66.00666666666662
2015,6,134.32812500000043
2015,7,30.494285714285827
2015,8,36.91125000000012
2015,9,102.26857142857136
2015,10,33.36904761904776
2015,11,155.8892592592587
2015,12,123.3615789473682
2016,1,258.0234615384619
2016,2,248.5836842105266
2016,3,132.25483870967741
2016,4,20.265714285714346
2016,5,79.98208333333282
2016,6,114.94920000000049
2016,7,16.925555555555608
2016,8,60.28954545454494
2016,9,125.32545454545544
2016,10,50.88199999999979
2016,11,159.22461538461496
2016,12,69.36499999999961
2017,1,32.53320000000006
2017,2,25.69916666666671
2017,3,116.0667999999992
2017,4,160.08695652173887
2017,5,52.602500000000276
2017,6,218.07705882352965
2017,7,70.6124999999997
2017,8,58.13291666666666
2017,9,16.81900000000008
2017,10,55.276363636363435
2017,11,89.8065384615386
2017,12,55.01041666666663
2018,1,124.77384615384592
2018,2,142.62227272727253
2018,3,59.289999999999836
2018,4,34.92047619047613
2018,5,33.93947368421052
2018,6,30.678095238095278
2018,7,38.31714285714282
2018,8,58.30653846153844
2018,9,38.78217391304349
2018,10,64.85888888888887
2018,11,271.6469230769245
2018,12,101.18629629629669
2019,1,75.56875000000025
2019,2,270.2153571428573
2019,3,240.5730000000006
2019,4,323.60769230769165
2019,5,122.22740740740795
2019,6,102.66444444444437
2019,7,83.67357142857115
2019,8,232.68733333333384
2019,9,166.4785000000006
2019,10,75.23619047619088
2019,11,121.55625000000045
2019,12,153.23739130434825
2020,1,13.444444444444445
2020,2,13.894736842105264
2020,3,19.895499999999927
2020,4,11.161764705882376
2020,5,86.19636363636351
2020,6,4.79285714285714
2020,7,38.206666666666734
2020,8,40.9385714285712
2020,9,28.385499999999883
2020,10,35.07839999999998
2020,11,35.1613333333333
2020,12,70.80689655172407
2021,1,43.17999999999983
2021,2,154.94545454545488
2021,3,87.48571428571424
2021,4,38.978846153846014
2021,5,47.604210526315526
2021,6,9.536666666666678
2021,7,21.34555555555564
2021,8,25.019375000000075
2021,9,16.799285714285737
2021,10,58.29517241379292
2021,11,72.38333333333296
2021,12,229.5999999999999
2022,1,60.92857142857143
2022,2,23.0
2022,3,25.9
2022,4,75.9090909090909
